ID,YEAR,INCOM16,CONINC,DEGREE,PADEG,MADEG,SPDEG,MAWRKGRW,FEFAM,FECHLD,CONPRESS,CONJUDGE,CONLEGIS,GOD,HAPPY,NATENVIY,EQWLTH,ABANY,CAPPUN,RES16,NATEDUCY
660,1976,3,12770,0,8,8,7,0,0,0,2,2,3,0,1,0,0,0,1,2,0
1314,1976,4,49659,1,7,0,1,0,0,0,2,1,1,0,2,0,0,0,2,3,0
229,1976,3,63848,4,1,3,1,0,0,0,2,1,1,0,1,0,0,0,2,3,0
67,1976,3,35471,1,1,1,1,0,0,0,1,2,1,0,1,0,0,0,1,1,0
531,1976,3,25539,0,0,8,7,0,0,0,2,2,3,0,2,0,0,0,2,6,0
1721,1976,2,21283,0,8,0,0,0,0,0,3,1,2,0,1,0,0,0,2,2,0
257,1976,5,63848,4,4,1,4,0,0,0,1,1,2,0,2,0,0,0,2,3,0
1381,1976,3,12770,0,0,7,0,0,0,0,1,1,2,0,1,0,0,0,1,3,0
184,1976,3,35471,3,1,1,7,0,0,0,2,3,2,0,2,0,0,0,1,2,0
1533,1976,2,49659,1,0,0,0,0,0,0,2,2,2,0,1,0,0,0,1,6,0
166,1976,3,0,0,8,0,0,0,0,0,2,2,2,0,1,0,0,0,2,5,0
1430,1976,1,49659,1,1,2,1,0,0,0,1,1,1,0,1,0,0,0,1,3,0
534,1976,3,35471,1,3,2,7,0,0,0,2,1,2,0,2,0,0,0,1,5,0
1587,1976,2,12770,1,0,1,7,0,0,0,3,2,2,0,2,0,0,0,8,5,0
1133,1976,3,49659,1,0,0,0,0,0,0,1,3,2,0,1,0,0,0,1,3,0
1228,1976,3,49659,0,7,1,1,0,0,0,1,2,2,0,2,0,0,0,1,5,0
1067,1976,2,49659,1,0,0,1,0,0,0,2,3,3,0,3,0,0,0,1,3,0
743,1976,2,49659,0,0,0,1,0,0,0,2,2,2,0,2,0,0,0,1,3,0
1748,1976,2,9932,0,0,0,0,0,0,0,3,1,1,0,2,0,0,0,2,2,0
1385,1976,3,49659,1,0,0,1,0,0,0,2,3,2,0,2,0,0,0,1,1,0
